City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
354,Xuddur,SO,71.71,broken clouds,4.1213,43.8894,Banjanay Hotel
356,Arcata,US,73.74,clear sky,40.8665,-124.0828,"Hampton Inn & Suites Arcata, CA"
358,Joshimath,IN,68.34,broken clouds,30.5667,79.5667,Shivalik Camps & Resort
361,Phrae,TH,74.98,overcast clouds,18.0833,100.0,Gingerbread Cottage Resort & Spa
364,Khash,IR,70.92,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
370,Portland,US,68.27,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
374,Banda Aceh,ID,75.0,moderate rain,5.5577,95.3222,Sulthan Hotel International
378,Alcudia,ES,71.38,scattered clouds,39.8532,3.1214,Zafiro Tropic
380,Kuryk,KZ,71.6,overcast clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
384,San Juan,AR,65.73,clear sky,-31.5375,-68.5364,Hotel Provincial
385,Manbij,SY,72.37,clear sky,36.5281,37.9549,Manbej City Hotel
392,Lagoa,PT,68.65,broken clouds,39.05,-27.9833,Casa Das Faias
396,Nikki,BJ,71.98,light rain,9.9401,3.2108,Hotel John
398,San Quintin,MX,71.06,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
403,Lodja,CD,69.03,overcast clouds,-3.4833,23.4333,
411,Torbat-E Jam,IR,65.5,clear sky,35.244,60.6225,White building
421,Swan River,CA,66.09,overcast clouds,52.1058,-101.2676,Super 8 by Wyndham Swan River MB
429,Caravelas,BR,71.87,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
430,Yumen,CN,65.43,clear sky,40.2833,97.2,
434,Amapa,BR,73.94,overcast clouds,1.0,-52.0,
436,Mwanza,TZ,71.62,broken clouds,-2.5167,32.9,Gold Crest Hotel
443,Komsomolskiy,UZ,65.62,clear sky,40.4272,71.7189,Ikathouse
444,San Vicente,AR,73.24,light rain,-26.6167,-54.1333,Complejo Turístico Farelluk
447,Santa Maria,BR,67.3,overcast clouds,-29.6842,-53.8069,Hotel Morotin
451,Maragogi,BR,74.93,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
454,Diebougou,BF,74.57,scattered clouds,10.9667,-3.25,Hotel Le Consulat
455,Westport,US,71.74,clear sky,41.1415,-73.3579,The Westport Inn
456,Fort Frances,CA,71.82,scattered clouds,48.5999,-93.4003,LA PLACE RENDEZ-VOUS
465,Baturaja,ID,75.0,broken clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
467,Iwanai,JP,67.95,scattered clouds,42.9744,140.5089,いわない高原ホテル
479,Everett,US,65.79,moderate rain,47.979,-122.2021,Best Western Cascadia Inn
480,Fort-Shevchenko,KZ,69.94,clear sky,44.5086,50.263,Oasis hotel Bautino
482,Boende,CD,66.85,overcast clouds,-0.2167,20.8667,
483,Kestel,TR,65.68,clear sky,40.1983,29.2124,UZUNOĞLU APART
487,Emerald,AU,71.74,clear sky,-23.5333,148.1667,The Irish Village
503,Namie,JP,70.72,broken clouds,37.4833,141.0,いこいの村なみえ
509,Anori,BR,74.23,overcast clouds,-3.7728,-61.6442,Novo Hotel 05 Irmaos
511,Gbarnga,LR,70.14,overcast clouds,6.9956,-9.4722,Passion Hotel 2
518,Kalabo,ZM,70.36,scattered clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
520,Tezu,IN,73.99,clear sky,27.9167,96.1667,Circuit House
530,Hede,CN,73.31,light rain,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
532,Bozoum,CF,67.84,light rain,6.3193,16.3799,
537,Pokhara,NP,69.22,scattered clouds,28.2333,83.9833,Butterfly Lodge
546,Axim,GH,74.88,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
555,Bintulu,MY,73.81,scattered clouds,3.1667,113.0333,900 Boutique INN
561,Sidi Ali,DZ,71.28,broken clouds,36.0998,0.4206,
